,id,x,y,z,i,j,k,degree,to_remove
6159,21.0,400.0,311.7691453623979,97.97958971132712,80.0,62.353829072479584,3.265986323710904,2.0,False
6160,22.0,440.0,311.7691453623979,97.97958971132712,88.0,62.353829072479584,3.265986323710904,4.0,False
6161,23.0,480.0,311.7691453623979,97.97958971132712,96.0,62.353829072479584,3.265986323710904,3.0,False
6197,24.0,260.0,346.41016151377545,97.97958971132712,52.0,69.28203230275508,3.265986323710904,5.0,False
6198,25.0,300.0,346.41016151377545,97.97958971132712,60.0,69.28203230275508,3.265986323710904,9.0,False
6199,26.0,340.0,346.41016151377545,97.97958971132712,68.0,69.28203230275508,3.265986323710904,4.0,False
6201,27.0,420.0,346.41016151377545,97.97958971132712,84.0,69.28203230275508,3.265986323710904,3.0,False
6202,28.0,460.0,346.41016151377545,97.97958971132712,92.0,69.28203230275508,3.265986323710904,6.0,False
6236,29.0,200.0,381.051177665153,97.97958971132712,40.0,76.2102355330306,3.265986323710904,2.0,False
6237,30.0,240.0,381.051177665153,97.97958971132712,48.0,76.2102355330306,3.265986323710904,10.0,False
6238,31.0,280.0,381.051177665153,97.97958971132712,56.0,76.2102355330306,3.265986323710904,12.0,False
6239,32.0,320.0,381.051177665153,97.97958971132712,64.0,76.2102355330306,3.265986323710904,8.0,False
6278,33.0,220.0,415.6921938165305,97.97958971132712,44.0,83.1384387633061,3.265986323710904,7.0,False
6279,34.0,260.0,415.6921938165305,97.97958971132712,52.0,83.1384387633061,3.265986323710904,9.0,False
6280,35.0,300.0,415.6921938165305,97.97958971132712,60.0,83.1384387633061,3.265986323710904,4.0,False
6281,36.0,340.0,415.6921938165305,97.97958971132712,68.0,83.1384387633061,3.265986323710904,2.0,False
6319,37.0,240.0,450.3332099679081,97.97958971132712,48.0,90.06664199358161,3.265986323710904,2.0,False
7802,38.0,480.0,80.8290376865476,130.63945294843617,96.0,16.16580753730952,4.354648431614539,2.0,False
7803,39.0,520.0,80.8290376865476,130.63945294843617,104.0,16.16580753730952,4.354648431614539,2.0,False
7835,40.0,180.0,115.47005383792514,130.63945294843617,36.0,23.094010767585026,4.354648431614539,2.0,False
7843,41.0,500.0,115.47005383792514,130.63945294843617,100.0,23.094010767585026,4.354648431614539,8.0,False
7844,42.0,540.0,115.47005383792514,130.63945294843617,108.0,23.094010767585026,4.354648431614539,4.0,False
7845,43.0,580.0,115.47005383792514,130.63945294843617,116.0,23.094010767585026,4.354648431614539,4.0,False
7846,44.0,620.0,115.47005383792514,130.63945294843617,124.0,23.094010767585026,4.354648431614539,2.0,False
7876,45.0,160.0,150.11106998930268,130.63945294843617,32.0,30.022213997860536,4.354648431614539,4.0,False
7877,46.0,200.0,150.11106998930268,130.63945294843617,40.0,30.022213997860536,4.354648431614539,10.0,False
7878,47.0,240.0,150.11106998930268,130.63945294843617,48.0,30.022213997860536,4.354648431614539,2.0,False
7884,48.0,480.0,150.11106998930268,130.63945294843617,96.0,30.022213997860536,4.354648431614539,2.0,False
7885,49.0,520.0,150.11106998930268,130.63945294843617,104.0,30.022213997860536,4.354648431614539,6.0,False
7886,50.0,560.0,150.11106998930268,130.63945294843617,112.0,30.022213997860536,4.354648431614539,4.0,False
7887,51.0,600.0,150.11106998930268,130.63945294843617,120.0,30.022213997860536,4.354648431614539,9.0,False
7917,52.0,180.0,184.75208614068023,130.63945294843617,36.0,36.95041722813605,4.354648431614539,2.0,False
7918,53.0,220.0,184.75208614068023,130.63945294843617,44.0,36.95041722813605,4.354648431614539,2.0,False
7919,54.0,260.0,184.75208614068023,130.63945294843617,52.0,36.95041722813605,4.354648431614539,2.0,False
7920,55.0,300.0,184.75208614068023,130.63945294843617,60.0,36.95041722813605,4.354648431614539,2.0,False
7925,56.0,500.0,184.75208614068023,130.63945294843617,100.0,36.95041722813605,4.354648431614539,2.0,False
7926,57.0,540.0,184.75208614068023,130.63945294843617,108.0,36.95041722813605,4.354648431614539,2.0,False
7927,58.0,580.0,184.75208614068023,130.63945294843617,116.0,36.95041722813605,4.354648431614539,9.0,False
7928,59.0,620.0,184.75208614068023,130.63945294843617,124.0,36.95041722813605,4.354648431614539,6.0,False
7964,60.0,400.0,219.39310229205776,130.63945294843617,80.0,43.878620458411554,4.354648431614539,2.0,False
7965,61.0,440.0,219.39310229205776,130.63945294843617,88.0,43.878620458411554,4.354648431614539,5.0,False
7966,62.0,480.0,219.39310229205776,130.63945294843617,96.0,43.878620458411554,4.354648431614539,6.0,False
7969,63.0,600.0,219.39310229205776,130.63945294843617,120.0,43.878620458411554,4.354648431614539,3.0,False
8003,64.0,340.0,254.03411844343532,130.63945294843617,68.0,50.80682368868706,4.354648431614539,3.0,False
8005,65.0,420.0,254.03411844343532,130.63945294843617,84.0,50.80682368868706,4.354648431614539,6.0,False
8006,66.0,460.0,254.03411844343532,130.63945294843617,92.0,50.80682368868706,4.354648431614539,4.0,False
8044,67.0,320.0,288.67513459481285,130.63945294843617,64.0,57.73502691896257,4.354648431614539,7.0,False
8045,68.0,360.0,288.67513459481285,130.63945294843617,72.0,57.73502691896257,4.354648431614539,6.0,False
8047,69.0,440.0,288.67513459481285,130.63945294843617,88.0,57.73502691896257,4.354648431614539,5.0,False
8048,70.0,480.0,288.67513459481285,130.63945294843617,96.0,57.73502691896257,4.354648431614539,3.0,False
8083,71.0,260.0,323.31615074619043,130.63945294843617,52.0,64.66323014923809,4.354648431614539,3.0,False
8084,72.0,300.0,323.31615074619043,130.63945294843617,60.0,64.66323014923809,4.354648431614539,9.0,False
8085,73.0,340.0,323.31615074619043,130.63945294843617,68.0,64.66323014923809,4.354648431614539,12.0,False
8086,74.0,380.0,323.31615074619043,130.63945294843617,76.0,64.66323014923809,4.354648431614539,6.0,False
8087,75.0,420.0,323.31615074619043,130.63945294843617,84.0,64.66323014923809,4.354648431614539,6.0,False
8088,76.0,460.0,323.31615074619043,130.63945294843617,92.0,64.66323014923809,4.354648431614539,11.0,False
8124,77.0,240.0,357.95716689756796,130.63945294843617,48.0,71.59143337951359,4.354648431614539,5.0,False
8125,78.0,280.0,357.95716689756796,130.63945294843617,56.0,71.59143337951359,4.354648431614539,12.0,False
8126,79.0,320.0,357.95716689756796,130.63945294843617,64.0,71.59143337951359,4.354648431614539,12.0,False
8127,80.0,360.0,357.95716689756796,130.63945294843617,72.0,71.59143337951359,4.354648431614539,5.0,False
8128,81.0,400.0,357.95716689756796,130.63945294843617,80.0,71.59143337951359,4.354648431614539,6.0,False
8129,82.0,440.0,357.95716689756796,130.63945294843617,88.0,71.59143337951359,4.354648431614539,3.0,False
8130,83.0,480.0,357.95716689756796,130.63945294843617,96.0,71.59143337951359,4.354648431614539,2.0,False
